Location,Region,District,Street,Price,Views,Area,Rooms,Floors,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Price_sqm,Error,Floor,Storeys,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Malatia-Sebastia, Noy district",Yerevan, Malatia-Sebastia, Noy district,6000.0,422,501,4,2,3,Stone,3.0,Newly repaired,08.04.2022,08.04.2022,08.05.2022,40.1686452,44.457492,"Սեբաստիայի փողոց, Մալաթիա-Սեբաստիա, Երևան, 0032, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Storageroom,Tile,Sunny,View,Roadside,Closetothebusstation,Garage,Playground,Park",https://myrealty.am/en/house-for-rent/Noy+district/Malatia-Sebastia/Yerevan/120699,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
"Yerevan, Shengavit, Artashisyan St",Yerevan, Shengavit, Artashisyan St,710.0,367,220,3,1,1,Stone,2.8,Newly repaired,08.04.2022,08.04.2022,08.05.2022,40.15683309,44.48212258,"1/2, Արտաշիսյան փողոց, Վերին Շենգավիթ, Շենգավիթ, Երևան, 0050, Հայաստան","Heating,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Grating,Irondoor,Basement,Tile,Laminateflooring,Closetothebusstation,Gate,Fence",https://myrealty.am/en/house-for-rent/Artashisyan+St/Shengavit/Yerevan/120693,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Paronyan St",Yerevan, Center, Paronyan St,2000.0,479,300,6,3,3,Stone,2.8,Good,04.04.2022,04.04.2022,08.05.2022,40.1833847,44.500118,"ՀայԷկոնոմԲանկ, Պարոնյան փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Sunny,View,Roadside,Closetothebusstation,Playground,Park",https://myrealty.am/en/house-for-rent/Paronyan+St/Center/Yerevan/120593,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Nor Norq, Moldovakan St",Yerevan, Nor Norq, Moldovakan St,4000.0,685,700,5,2,4,Monolit,3.0,Newly repaired,02.04.2022,02.04.2022,08.05.2022,40.2064728,44.57019,"27, Մոլդովական փողոց, Նոր Նորքի 2-րդ զանգված, Նոր Նորք, Երևան, 0112, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Fireplace,Eurowindows,Grating,Irondoor,Loggia,Openbalcony,Balcony,Storageroom,Attic,Basement,Tile,Parquet,Heatedfloor,Securitysystem,Sunny,View,Bilateral,Roadside,Closetothebusstation,Parking,Garage,Playground,Park,Buildingexistence,Gate,Fence,Highfirstfloor",https://myrealty.am/en/new-build-house-for-rent/Moldovakan+St/Nor+Norq/Yerevan/120550,0,,0,,,for rent,house,myrealty.am,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"Yerevan, Malatia-Sebastia, Z.Andranik St",Yerevan, Malatia-Sebastia, Z.Andranik St,1000.0,521,265,6,2,2,Stone,2.8,Newly repaired,31.03.2022,31.03.2022,08.05.2022,40.1659154,44.4424727,"143/1, Զորավար Անդրանիկի փողոց, Մալաթիա-Սեբաստիա, Երևան, 0004, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Tile,Parquet,Sunny,Closetothebusstation,Park",https://myrealty.am/en/house-for-rent/Z.Andranik+St/Malatia-Sebastia/Yerevan/120497,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"Yerevan, Nor Norq, Moldovakan St",Yerevan, Nor Norq, Moldovakan St,5000.0,504,700,6,4,5,Stone,3.0,Newly repaired,30.03.2022,30.03.2022,08.05.2022,40.196001,44.5715175,"Nork Residence, 56/1, Մոլդովական փողոց, Նոր Նորքի 2-րդ զանգված, Նոր Նորք, Երևան, 0062, Հայաստան","Heating,Internet,Hotwater,Electricity,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Storageroom,Laminateflooring,Swimmingpool,Sunny,View,Garage,Gate,Fence",https://myrealty.am/en/house-for-rent/Moldovakan+St/Nor+Norq/Yerevan/120468,0,,0,,,for rent,house,myrealty.am,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1
"Yerevan, Vahagni district,",Yerevan, Vahagni district,,1700.0,571,150,4,2,3,Stone,3.0,Good,30.03.2022,30.03.2022,08.05.2022,40.2149231,44.4516989,"Նեմրութի փողոց, Վահագնի թաղամաս, Աջափնյակ, Երևան, 0088, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Parquet,Sunny,View,Roadside,Playground,Park",https://myrealty.am/en/house-for-rent//Vahagni+district/Yerevan/120467,0,,0,,,for rent,house,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1
"Yerevan, Norq Marash, Norq 11 st.",Yerevan, Norq Marash, Norq 11 st.,700.0,442,600,2,1,1,Stone,2.8,Good,28.03.2022,28.03.2022,08.05.2022,40.1896809,44.5355154,"303/10, Նորքի Այգիներ փողոց, Նորք Մարաշ, Երևան, 0011, Հայաստան","Water,water24/7,Electricity,Internet,Hotwater,Gas,Heating","Furniture,Irondoor,Bilateral,Sunny,Laminateflooring,Tile,Eurowindows,Openbalcony,Equipment",https://myrealty.am/en/house-for-rent/Norq+11+st./Norq+Marash/Yerevan/120402,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Norq Marash, Norq 9 St",Yerevan, Norq Marash, Norq 9 St,406.0,397,232,3,1,1,Stone,2.8,Good,27.03.2022,27.03.2022,08.05.2022,40.1791062,44.5427135,"84a, Նորքի 9-րդ փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Openbalcony,Sunny,View,Roadside,Closetothebusstation,Garage,Highfirstfloor",https://myrealty.am/en/house-for-rent/Norq+9+St/Norq+Marash/Yerevan/120394,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"Yerevan, Arabkir, Babayan St",Yerevan, Arabkir, Babayan St,2500.0,506,200,6,3,3,Stone,3.0,Newly repaired,25.03.2022,25.03.2022,08.05.2022,40.1988941,44.520252,"6, Բաբայան փողոց, Քանաքեռ-Զեյթուն, Երևան, 0037, Հայաստան","Heating,Gas,Hotwater,Internet,Electricity,water24/7,Water","Furniture,Equipment,Eurowindows,Tile,Parquet,Sunny,View,Closetothebusstation",https://myrealty.am/en/house-for-rent/Babayan+St/Arabkir/Yerevan/120316,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
"Yerevan, Norq Marash, Norq 11 st.",Yerevan, Norq Marash, Norq 11 st.,750.0,516,600,2,1,1,Stone,2.8,Newly repaired,25.03.2022,25.03.2022,08.05.2022,40.1896809,44.5355154,"303/10, Նորքի Այգիներ փողոց, Նորք Մարաշ, Երևան, 0011, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Gate",https://myrealty.am/en/house-for-rent/Norq+11+st./Norq+Marash/Yerevan/120303,0,,0,,,for rent,house,bars.am,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Arabkir, Aygedzor St",Yerevan, Arabkir, Aygedzor St,6500.0,505,600,7,4,5,Monolit,3.2,Newly repaired,23.03.2022,23.03.2022,08.05.2022,40.1913985,44.5001596,"42, Այգեձորի փողոց, Արաբկիր, Երևան, 0019, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Eurowindows,Irondoor,Openbalcony,Balcony,Tile,Sunny,View,Roadside,Closetothebusstation",https://myrealty.am/en/new-build-house-for-rent/Aygedzor+St/Arabkir/Yerevan/120244,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
"Yerevan, Avan, Paruyr Sevak dis.",Yerevan, Avan, Paruyr Sevak dis.,700.0,560,200,3,2,1,Stone,3.0,Good,22.03.2022,22.03.2022,08.05.2022,40.2284324,44.5793688,"29, Պարույր Սևակ թաղ 1-ին փողոց, Առինջ, Աբովյանի տարածաշրջան, Կոտայքի մարզ, 3742210, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Storageroom,Tile,Laminateflooring,Sunny,Parking,Buildingexistence,Gate,Fence",https://myrealty.am/en/house-for-rent/Paruyr+Sevak+dis./Avan/Yerevan/120201,0,,0,,,for rent,house,bars.am,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"Yerevan, Center, Antarayin St",Yerevan, Center, Antarayin St,3000.0,489,960,7,2,2,Stone,3.2,Good,21.03.2022,21.03.2022,08.05.2022,40.19391395,44.50852613,"47, Անտառային փողոց, Երևան, 0077, Հայաստան","Heating,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Grating,Irondoor,Openbalcony,Balcony,Basement,Tile,Parquet,Sunny,View,Roadside,Garage,Park,Buildingexistence,Highfirstfloor",https://myrealty.am/en/house-for-rent/Antarayin+St/Center/Yerevan/120184,0,,0,,,for rent,house,myrealty.am,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1
"Yerevan, Center, Zarubyan St",Yerevan, Center, Zarubyan St,2500.0,1930,550,5,2,2,Stone,3.0,Newly repaired,15.04.2021,27.04.2021,08.05.2022,40.191297,44.5125589,"Անտոն Չեխովի անվան թիվ 55 դպրոց, Զարոբյան փողոց, Կենտրոն, Երևան, 0077, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Tile,Parquet,Sunny,View,Closetothebusstation",https://myrealty.am/en/house-for-rent/Zarubyan+St/Center/Yerevan/109209,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
"Yerevan, Avan, Tsarav Aghbyur St",Yerevan, Avan, Tsarav Aghbyur St,1500.0,1740,270,4,2,3,Stone,2.8,Newly repaired,13.04.2021,07.05.2021,08.05.2022,40.215894,44.5563975,"139, Ծարավ Աղբյուրի փողոց, Ավան, Երևան, 0040, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Storageroom,Tile,Sunny,View,Roadside,Parking,Garage,Playground,Park",https://myrealty.am/en/house-for-rent/Tsarav+Aghbyur+St/Avan/Yerevan/109155,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
"Yerevan, Erebuni, Muratsan St",Yerevan, Erebuni, Muratsan St,3000.0,1870,1500,7,3,2,Other,2.8,Good,12.04.2021,24.05.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Equipment,Furniture",https://myrealty.am/en/house-for-rent/Muratsan+St/Erebuni/Yerevan/109133,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Davtashen, Davtashen 3 St",Yerevan, Davtashen, Davtashen 3 St,1100.0,1820,300,4,2,2,Stone,2.8,Good,10.04.2021,27.04.2021,08.05.2022,40.1008058,44.4658501,"17, 11-րդ փողոց, Այնթապ, Մասիսի տարածաշրջան, Արարատի մարզ, 0817, Հայաստան","Electricity,Air-conditioner,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Sunny,View,Closetothebusstation",https://myrealty.am/en/house-for-rent/Davtashen+3+St/Davtashen/Yerevan/109093,0,,0,,,for rent,house,myrealty.am,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Avan, Tsarav Aghbyur St",Yerevan, Avan, Tsarav Aghbyur St,1900.0,1735,200,5,2,3,Monolit,3.0,Newly repaired,10.04.2021,27.04.2021,08.05.2022,40.215894,44.5563975,"139, Ծարավ Աղբյուրի փողոց, Ավան, Երևան, 0040, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Laminateflooring,Swimmingpool,Sunny,View,Roadside,Closetothebusstation,Garage,Park",https://myrealty.am/en/house-for-rent/Tsarav+Aghbyur+St/Avan/Yerevan/110005,0,,0,,,for rent,house,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1
"Yerevan, Norq Marash, Norq Marash",Yerevan, Norq Marash, Norq Marash,1700.0,647,1000,5,2,3,Stone,2.8,Good,02.04.2021,15.01.2022,08.05.2022,40.184564,44.5407877,"Policlinic № 5, Արմենակ Արմենակյան փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Tile,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Parking,Garage,Playground,Park,Gate,Fence",https://myrealty.am/en/house-for-rent/Norq+Marash/Norq+Marash/Yerevan/117946,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1
"Yerevan, Avan, Abovyan dis",Yerevan, Avan, Abovyan dis,4200.0,2267,660,5,2,3,Monolit,2.8,Newly repaired,02.04.2021,02.04.2021,08.05.2022,40.1851571,44.5206,"30, Աբովյան փողոց, Կենտրոն, Երևան, 001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Parking,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Abovyan+dis/Avan/Yerevan/108903,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1
"Yerevan, Vahagni district, Sevak st",Yerevan, Vahagni district, Sevak st,3700.0,1805,1000,6,3,1,Other,2.8,Newly repaired,31.03.2021,27.04.2021,08.05.2022,40.220435,44.457267,"Արարատ Վալի քանթրի քլաբ, Աշտարակի խճուղի, Աջափնյակ, Երևան, 0088, Հայաստան","Heating,Electricity,water24/7,Water","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Closetothebusstation",https://myrealty.am/en/house-for-rent/Sevak+st/Vahagni+district/Yerevan/108877,0,,0,,,for rent,house,myrealty.am,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
